Memory in node 1: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
test: medium_latency_0
timing: 14374272
timing: 14999566
timing: 12499235
timing: 13124499
timing: 14374688
timing: 14999414
timing: 11249453
timing: 14374238
timing: 11874654
timing: 13124443
timing: 13124349
timing: 11874442
timing: 11249488
timing: 10624412
timing: 16249652
timing: 12499090
timing: 10624637
timing: 15624496
timing: 8121738
timing: 9374573
timing: 10624418
timing: 10624505
timing: 12499339
timing: 11874496
timing: 13124655
timing: 9374302
timing: 9374326
timing: 9374596
timing: 12499353
timing: 13749480
timing: 13747056
timing: 11874375
timing: 11249407
timing: 12499452
timing: 10624485
timing: 9999648
timing: 10624222
timing: 14374189
timing: 12499818
timing: 13122066
timing: 9997365
timing: 9998847
timing: 16874468
timing: 8749431
timing: 12499669
timing: 13124148
timing: 11249575
timing: 10624358
timing: 12499241
timing: 11874580
timing: 11249631
timing: 11874136
timing: 8124587
timing: 14374501
timing: 11874594
timing: 13124306
timing: 10624469
timing: 9999283
timing: 12499705
timing: 12496708
timing: 11874636
timing: 8749445
timing: 14374385
timing: 13749486
timing: 12499477
timing: 13749506
timing: 13124309
timing: 12499460
timing: 12499411
timing: 13749451
timing: 9374730
timing: 11249157
timing: 13124452
timing: 9999480
timing: 11874342
timing: 11874555
timing: 19374398
timing: 13124862
timing: 8749486
timing: 10623903
timing: 10624582
timing: 9374462
timing: 12499351
timing: 12499389
timing: 13124441
timing: 10624461
timing: 11874502
timing: 13124309
timing: 12499481
timing: 14999525
timing: 11249540
timing: 11874371
timing: 12499477
timing: 11249831
timing: 11248984
timing: 9999678
timing: 12499282
timing: 16249454
timing: 10624179
timing: 14999678
timing: 14374463
timing: 10624395
timing: 9374441
timing: 12499443
timing: 8749434
timing: 11249512
timing: 15624413
timing: 13746891
timing: 13124390
timing: 9374581
timing: 9374346
timing: 12499574
timing: 10624457
timing: 11874287
timing: 10624515
timing: 12499588
timing: 9999163
timing: 11249512
timing: 13124530
timing: 15624373
timing: 14999442
timing: 10624373
timing: 13124551
timing: 11874308
timing: 12499433
timing: 11874620
timing: 10624580
timing: 14374173
timing: 14374499
timing: 14374598
timing: 13124306
timing: 11874438
timing: 13749268
timing: 9374775
timing: 13749396
timing: 13124292
timing: 10624520
timing: 11874451
timing: 13124447
timing: 10624706
timing: 13124107
timing: 13124572
timing: 11880937
timing: 8118037
timing: 8749207
timing: 10621795
timing: 11249454
timing: 14999454
timing: 10624499
timing: 9999514
timing: 15624420
timing: 13124335
timing: 11874428
timing: 15624455
timing: 16249496
timing: 9999275
timing: 13749481
timing: 11249956
timing: 14374089
timing: 12499412
timing: 13124727
timing: 13749235
timing: 14381362
timing: 8117308
timing: 11874568
timing: 13124299
timing: 14374673
timing: 13749477
timing: 13124350
timing: 12499416
timing: 13124459
timing: 11249404
timing: 9999385
timing: 12499577
timing: 12499320
timing: 11249525
timing: 8749552
timing: 15624349
timing: 9374310
timing: 11249584
timing: 13124400
timing: 14374641
timing: 13121640
timing: 11874571
timing: 13124324
timing: 13124592
timing: 10624784
timing: 12499087
timing: 10624460
timing: 11249422
timing: 9999427
timing: 11249255
timing: 13749757
timing: 14374405
timing: 13749381
timing: 11874379
timing: 13749398
